idsubproduto,nome_produto,descrsecao,descrgrupo,descrsubgrupo,descricao_produto,especificacao_tecnica,pagina_web,manual,fotos
10120,LUVA FLEX TUFF 701014 M8,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"Luva de segurança em algodão e poliéster, revestida com borracha nitrílica, com acabamento antiderrapante e parte do dorso ventilado. Indicada para proteção contra riscos mecânicos e atividades abrasivas.","Confeccionada em fios de algodão e poliéster, revestimento em borracha látex corrugada, modelagem ergonômica, punho tricotado, resistente à abrasão, palma, dedos e falanges com acabamento antiderrapante, parte do dorso ventilada para respirabilidade.",Não encontrado,Não encontrado,https://www.elastobor.com.br/luva-tricotada-marluvas-flex-tuff-azul-cinza-tam-8-m/p | https://www.manutan.pt/pt/map/luvas?page=2
11233,LUVA NITRILICA LARANJA DIAMOND TAM.9,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"Luva nitrílica laranja da marca Diamond, tamanho 9, para proteção contra agentes mecânicos e químicos. Certificada e ambidestra, com punho em virola e textura em formato de diamante.","100% borracha nitrílica; cor laranja; punho terminado em virola; palma, dedo e dorso texturizado em formato de diamante; ambidestra; não esterilizada; livre de silicone e látex; sem talco; impermeável; uso único.",https://shopee.com.br/Luva-Nitr%C3%ADlica-Diamond-Laranja-TAM.9-(G)-UNITARIO-PAR-WURTH-i.1497382346.23094142405,https://s3.sa-east-1.amazonaws.com/bd-sp.canaldapeca.com.br/Wurth/CATALOGO/26-04-2023/13.10.0315/13.10.0315_LUVA_NITR%C3%8DLICA_DESCART%C3%81VEL_.pdf,https://www.casadolavador.com.br/equipamentos/epi-s/luva-nitrilica-diamond-laranja-tam-9-g-unitario-par-wurth | https://shopee.com.br/Luva-Nitr%C3%ADlica-Diamond-Laranja-TAM.9-(G)-UNITARIO-PAR-WURTH-i.1497382346.23094142405 | https://varejo.wurth.com.br/p/10240063/luva-nitrilica-descartavel-laranja-diamond-n-9-embalagem-com-50-unidades-wurth-0899970912-kit
10118,LUVA POLIEST LATEX CORRUGADA PRETA 9,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"Luva sintética em malha de poliéster na cor vermelha com revestimento em látex corrugado na palma e nos dedos, punho em malha elástica. Oferece conforto e flexibilidade nas operações onde exijam agarre e tato. Pode ser utilizada em condições secas ou úmidas.","Peso: 0,300 kg, Dimensões: 15 × 10 × 7 cm, Comprimento Total: 238mm, Material do Forro: Poliéster vermelho, Revestimento: Látex corrugado na palma e dedos (Alto grip), Tamanho: 9, Composição: 1 Par",https://danteresolve.com.br/produto/luva-protecao-poliester-latex-corrugada-tam-9-preta-vermelha-wurth,https://s3.sa-east-1.amazonaws.com/bd-sp.canaldapeca.com.br/Wurth/CATALOGO/13-03-2024/13.10.0230/13.10.0230%20%281%29.pdf,https://rocketreach.co/hd-store-oficial-profile_b7fc2e72c25c8a9b | https://rocketreach.co/show-de-imagem-email-format_b7b85970c53a2fe3
10122,LUVA POLIEST NITRIL CINZA 9,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"A Luva de Poliéster com Revestimento Nitrílico Cinza Tamanho 09 - G é ideal para proteção das mãos em atividades que exigem resistência e conforto. Possui dorso ventilado e punho elástico, proporcionando um ajuste seguro e respirável.",Material: Poliéster / Borracha nitrílica; Revestimento: Borracha nitrílica (palma e pontas dos dedos); Cor: Preto / Cinza; Tamanho: G - 09; CA: 38.238; Costuras: Sem costura; Acabamento do punho: Punho elástico; Dorso: Ventilado; Aplicação: Proteção das mãos; EAN: 3295249131692; Código do Fornecedor: VE712GR09; Modelo: VE712; Marca: DeltaPlus,https://www.hiperfer.com.br/luva-de-poliester-com-revestimento-nitrilico-cinza-tamanho-09-g-deltaplus,https://chemitool.com/wp-content/uploads/2022/10/fp_pt_chs021105_luva_poliester_nitrilo_chemitool_rv00.pdf,https://www.novaprotect.com.br/luvas-de-seguranca | https://rocketreach.co/hd-store-oficial-profile_b7fc2e72c25c8a9b | https://rocketreach.co/marcelo-gusmao-meireles-email_754032270
10124,LUVA POLY PU BLACK 701026 GG10,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"Luva anatômica de poliéster com banho de poliuretano (PU) na palma e dedos, oferecendo alta resistência à abrasão e conforto. Indicada para atividades que exigem sensibilidade tátil e destreza.","Tricotada em fio de poliéster, banhada com poliuretano (PU) na palma e dedos, cor preta. Possui dorso ventilado e punho tricotado. Aprovada para proteção contra riscos mecânicos em atividades secas ou levemente úmidas, manuseio de objetos abrasivos, operações de usinagem, montagem e manutenção, embalagem e logística. Tamanhos disponíveis: EP (06), P (07), M (08), G (09), EG (10).",https://www.balaska.com.br/en/luva-poly-pu-black-966990007,Não encontrado,https://atacadozr.com.br/marluvas-luva-pu-black-gg-96-699-t-10-12290/fill(fff):quality(80)/atacadoz/catalog/api/atacadoz_integrac/62d2b7a179c26.jpg | https://atacadozr.com.br/marluvas-luva-pu-black-gg-96-699-t-10-12290/fill(fff):quality(80)/atacadoz/catalog/api/atacadoz_integrac/62d2b7a18ad5b.jpg
10402,LUVA PU PTA 8M,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"Luva de segurança tricotada em náilon com palma, face palmar dos dedos e pontas dos dedos revestidas em poliuretano. Punho com elastano, indicada para proteção contra agentes abrasivos, cortantes, perfurantes e risco térmico.","Tamanho: 8-M, Material: náilon e poliuretano, Punho: elastano, Certificação: EN388, EN407, C.A. 15.272, Resistência térmica: 100°C, Validade: 5 anos após a data de fabricação",https://www.femacdistribuidora.com.br/luva-pu-pta-kalipso-tamanho-8-m-19614,https://cdn.dooca.com.br/rhmateriaiseletricos/product/916268791bf82e47aeb0af07501cedc4-15641599932699.pdf,https://www.lojadomecanico.com.br/produto/98098/36/316/luva-de-seguranca-tamanho-xg---pu-preta-kalipso-020934 | https://loja.anjosepi.com.br/protecao-para-as-maos/luva-pu-pta-t-10-xg-kalipso-c-a-15-272
11103,LUVA PU PTA 9G,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"Luva de segurança confeccionada em fibras sintéticas, com revestimento em poliuretano (PU) na face palmar e pontas dos dedos, punho elástico e acabamento em fibras sintéticas. Ideal para tarefas que exigem precisão e proteção contra abrasão e cortes superficiais.","CA: 30916, Tamanho: 9G, Material: Fibras sintéticas e Poliuretano (PU), Punho: Tricotado, Grip: Liso, Peso: 360 gramas (0.36 kg), Dimensões da Embalagem: 9.0 cm (Altura) x 15.0 cm (Largura) x 26.0 cm (Profundidade), Quantidade por Embalagem: 12 unidades, Origem: Importado",https://www.lojadoexaustor.com.br/luva-helanca-pu-preta-9g-volk,https://cdn.dooca.com.br/rhmateriaiseletricos/product/916268791bf82e47aeb0af07501cedc4-15641599932699.pdf,https://volkdobrasil.com.br/produto/luva-cut | https://rocketreach.co/hd-store-oficial-profile_b7fc2e72c25c8a9b | https://rocketreach.co/show-de-imagem-email-format_b7b85970c53a2fe3
11105,"LUVA PVC C/F 27CM 9,5",ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"Luva de segurança confeccionada em suporte têxtil de algodão, revestimento externo total em PVC com acabamento áspero antiderrapante. Extremidade do punho com acabamento serrilhado, comprimento de 27cm e tamanho 9,5 (G).","Forro: 100% suporte têxtil de Algodão, Revestimento: PVC, Acabamento: Áspero, Comprimento: 27cm, Tamanho: 9,5 (G), Cor: Verde, Marca: Kalipso, C.A.: 21.420, Garantia: 5 anos (defeitos de fabricação)",https://www.centraldeferramentas.com.br/luva-de-pvc-27cm-kalipso/p,https://isafix.com.br/epi-s/luvas/luva-pvc-c-f-27cm-t-9-5-ca-21420-p,https://www.calcadosparatrabalhar.com.br/luva-de-pvc-27cm-com-forro-kalipso.html | https://kalipso.com.br/produtos/detalhes/115/pvc-27-cm | https://www.spsepi.com.br/produto/luva-pvc-cf-27-cm-kalipso-ca-21420.html
11107,"LUVA PVC C/F 35CM 9,5",ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"Luva de PVC Palma Áspera Punho 35 cm da Kalipso, confeccionada em suporte têxtil de algodão com revestimento externo em PVC. Proporciona maior aderência e segurança, ideal para ambientes industriais.","CA: 21420, Material: Suporte têxtil de algodão com revestimento externo em PVC, Acabamento: Áspero antiderrapante na face palmar, extremidade dos dedos e dorso, Punho: 35 cm com acabamento serrilhado, Resistência Térmica: 100°C, Tamanho: 9,5 (G), Embalagem: Pacote com 12 pares",https://mundodosacessorios13.lojavirtualnuvem.com.br/produtos/luva-pvc-c-f-35cm-t-95,https://kalipso.com.br/media/produtos/boletins/boletim-pdf-29112023-174934-27505.pdf,https://mundodosacessorios13.lojavirtualnuvem.com.br/produtos/luva-pvc-c-f-35cm-t-95 | https://www.fmferragens.com.br/produto/kalipso-luva-pvc-c-f-35-cm-t-95-021012-721
11109,"LUVA PVC C/F 45CM 9,5",ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"Luva de segurança confeccionada em PVC com forro em malha de algodão, ideal para proteção contra produtos químicos, óleos, graxas e líquidos. Comprimento de 45 cm e tamanho 9,5.","Tamanho: 9,5; Comprimento: 45 cm; Espessura: 1,18 mm; Resistência Química: Classe A (Tipo 1: Agressivos ácidos, Tipo 2: Agressivos básicos), Classe B (Detergentes, Sabões, Amoníacos e similares), Classe C (Tipo 3: Alcóis, Tipo 4: Éteres, Tipo 5); Resistência Térmica: até 100°C; Aprovada para risco mecânico (EN388), risco químico (ISO374) e risco térmico (EN407).",https://www.ferragemmurillo.com.br/produtos/luva-pvc-com-forro-45cm-t-95-kalipso,https://kalipso.com.br/media/produtos/boletins/boletim-pdf-04102023-161116-710205.pdf,https://loja.acpelogisticas.com/product/luva-pvc-kalipso-45cm-com-forro-t-95 | https://www.lojasjusti.com.br/epi/luva/pvc/luva-pvc-cf-45cm-t-9-5-forrada | https://www.netepi.com.br/luvas-de-protecao/luvas-de-pvc/luva-de-pvc-kalipso-tam-9-5-punho-27cm-35cm-45cm-c-a-21420
10134,LUVA REDGRIP 08M,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"A Luva RedGrip T08 M é uma luva de segurança tricotada em algodão, poliéster e elastômero, com revestimento antiderrapante de látex natural em formato de diamante na palma e dedos. Proporciona aderência, resistência mecânica e térmica, ideal para atividades industriais e de construção.","Tricotada em algodão, poliéster e elastômero; revestimento antiderrapante de látex natural em formato de diamante; resistência térmica até 250°C; resistência ao rasgamento e abrasão; punho tricotado com acabamento em overloque; certificação CA 41.415; normas EN 388 e EN 407.",https://www.copalparafusos.com.br/35203,https://kalipso.com.br/media/produtos/boletins/boletim-pdf-13112023-164601-846402.pdf,https://www.ecoepi.com.br/produto/luva-kalipso-red-grip | https://www.abrassfer.com.br/luva-de-seguranca-servicos-gerais-red-grip-kalipso
10136,LUVA REDGRIP 10XG,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"Luva de proteção tricotada em algodão, poliéster e elastômero com revestimento antiderrapante vulcanizado em látex natural na palma, face palmar dos dedos e ponta dos dedos (unheira), com reforço de borracha natural entre os dedos polegar e indicador (região da 'pinça'). Punho tricotado em algodão, com acabamento em overloque.","CA: 41415; Tamanhos: M, G, XG; Aprovada para riscos mecânicos (EN388) e térmicos (EN407); Resistência ao corte: 2; Resistência à perfuração: 1; Resistência ao rasgamento: 4; Resistência à abrasão: 4; Resistência térmica: 250°C; Absorve a transpiração; Conforto térmico; Ótima resistência a abrasão e ao rasgamento; Proteção na ponta dos dedos (unheira).",https://www.calcadosparatrabalhar.com.br/luva-red-grip-de-algod-o-kalipso-revestimento-latex.html,https://kalipso.com.br/media/produtos/boletins/boletim-pdf-13112023-164601-846402.pdf,https://kalipso.com.br/media/produtos/boletins/boletim-pdf-13112023-164601-846402.pdf | https://www.anhangueraferramentas.com.br/produto/luva-de-protecao-tricotada-em-algodao-revestida-em-latex-ca-41415-red-grip-kalipso-141440
11113,LUVA SAARA 09G,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"A Luva Saara T. 09-G CA:34712 é projetada para oferecer máxima proteção e conforto em ambientes industriais. Com um design ergonômico, esta luva se adapta perfeitamente às mãos, permitindo maior destreza e controle durante o manuseio de ferramentas e materiais.",Marca: Kalipso; Modelo: Saara; Tamanho: 09 / G; CA: 34712; Material: HPPE e fios de fibra de vidro; Revestimento em poliuretano (PU); Cor: Branca / mesclada; Palma antiderrapante; Punho em polietileno e elastano; Resistência a corte; Resistência térmica ao calor de contato até 250°C por 15 segundos; Livre de látex natural; Normas: EN388 4343D / EN407 X2XXXX,https://www.mercadolivre.com.br/luva-saara-t-09g-anti-corte-kalipso/up/MLBU4002273669,https://kalipso.com.br/media/produtos/boletins/boletim-pdf-01112024-110753-753556.pdf,https://isafix.com.br/produto/luva-saara-t-09-g-ca-34712 | https://www.universodasferragens.com.br/6959/luva-saara-t-09-g | https://shopee.com.br/Luva-Saara-T.-09-G-Anti-Corte-Kalipso-i.1229078535.23399486805
10130,LUVA SOLDADOR MACIA BOXER,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"A Luva para Soldador Macia Boxer é ideal para profissionais que buscam segurança e conforto, com design ergonômico e resistência a altas temperaturas. Feita de camurça com reforço, forro interno de algodão e espuma, e costuras em fio Kevlar.","Material Corpo: Camurça com reforço; Forro: Feltro; Costura: Fio Kevlar; Comprimento: 36 cm; Resistência Máxima: Suporta calor de contato até 300°C com intermitência de 15 segundos; Peso: 0,40Kg; Ref: 330053; Garantia: 12 meses",https://www.fermaquinas.com.br/luva-para-soldador-macia-330053-boxer-/p,Não encontrado,https://www.fermaquinas.com.br/luva-para-soldador-macia-330053-boxer-/p | https://www.universodasferragens.com.br/8639/luva-soldador-macia-boxer | https://www.lojadomecanico.com.br/produto/193044/36/316/luva-de-soldador-macia-boxer-330053
11115,LUVA SONORA T 09G - KALIPSO - USO EPI,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"A Luva de Segurança Sonora 09/G Kalipso é projetada para oferecer proteção, conforto e excelente sensibilidade tátil em atividades que exigem precisão, ideal para trabalhos leves e manuseio de peças secas.","Marca: Kalipso, Modelo: Sonora, Tamanho: 09/G, Material: Fibra de vidro, revestimento em borracha nitrílica dupla, resistente a corte, antiderrapante, livre de látex natural, resistência térmica até 100°C, propriedades eletrostáticas.",https://ferpam.com.br/produtos/luva-de-seguranca-sonora-09-g-kalipso,https://www.cosamapro.com.br/luva-de-seguranca-sonora-t-09-g-kalipso/p,https://ferpam.com.br/produtos/luva-de-seguranca-sonora-09-g-kalipso | https://www.universodasferragens.com.br/1185/luva-sonora-t-09-g-kalipso | https://www.cosamapro.com.br/luva-de-seguranca-sonora-t-09-g-kalipso/p
10132,LUVA TATEX BRANCA 1 LADO - KALIPSO,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"A Luva Tatex Branca da Kalipso é ideal para proteção contra agentes mecânicos e térmicos, com palma antiderrapante de PVC e punho elástico, oferecendo conforto e sensibilidade tátil.","Marca: Kalipso; Modelo: Tatex Branca; Referência: 02.11.2.1; Certificado de Aprovação: CA 34491; Cor: Branca; Tamanho: Único (9); Material: Algodão e poliéster; Palma: Pigmentada com pontos antiderrapantes de PVC; Extremidade dos dedos: Reforço de borracha de PVC; Punho: Elástico com acabamento em overloque; Resistência térmica: até 100°C; Características: Sensibilidade tátil, palma antiderrapante, respirabilidade/conforto térmico, livre de látex natural; Normas: BS EN 388:2003; BS EN 420:2003 + A1:2009; Riscos mecânicos (EN 388:2017): Resistência à perfuração 1, resistência ao rasgamento 2, resistência ao corte 2, resistência à abrasão 1; Riscos térmicos (EN 407:2004): Calor por contato 1.",https://www.anhangueraferramentas.com.br/produto/luva-de-seguranca-tricotada-pigmentada-tam-unico-ca-34491-tatex-branca-kalipso-119000,Não encontrado,https://www.anhangueraferramentas.com.br/produto/luva-de-seguranca-tricotada-pigmentada-tam-unico-ca-34491-tatex-branca-kalipso-119000 | https://www.macenadistribuidora.com.br/luva-kalipso-tatex-branca-1-lado-4052-6 | https://www.lojadomecanico.com.br/produto/220547/36/316/luva-blistada-tatex-branca-tamanho-g-kalipso-021141
10126,LUVA TATEX PRETA 1 LADO - KALIPSO,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"Luva de segurança tricotada em fios de algodão e poliéster, com palma e face palmar dos dedos com pigmentos antiderrapantes de PVC, extremidade dos dedos com reforço de borracha de PVC. Punho com elástico e acabamento em overloque.","Composição: Algodão, Poliéster e PVC. Acabamento: Pigmentação preta em toda a luva. Aderência: Bolinhas de PVC na palma e dedos. Punho elástico para melhor fixação. Cor preta, ajuda a disfarçar sujeira. Costura interna para maior conforto. Tamanho 9/G indicado para mãos com circunferência entre 20 e 22 cm.",https://www.kalipso.com.br/produtos/detalhes/11/tatex-preta,https://cdn.heyzine.com/files/uploaded/a7831f67aa8e011cdea82ed975aa4d703e789733-1.pdf,https://www.madeiranit.com.br/luva-de-protecao-tatex-preta-tamanho-unico-kalipso | https://www.temosequipamentos.com.br/luva-de-seguranca-kalipso-ca-34491-tatex-algodao-pigmentada | https://www.novaopcaoepi.com.br/luva-kalipso-tatex-preta-pigmentada-tam-9-ca-34491
