idsubproduto,nome_produto,descrsecao,descrgrupo,descrsubgrupo,descricao_produto,especificacao_tecnica,pagina_web,manual,fotos
11103,LUVA PU PTA 9G,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"Luva de segurança confeccionada em fibras sintéticas, com revestimento em poliuretano (PU) na face palmar e pontas dos dedos, punho elástico e acabamento em fibras sintéticas. Ideal para tarefas que exigem precisão e proteção contra abrasão e cortes superficiais.","CA: 30916, Tamanho: 9G, Material: Fibras sintéticas e Poliuretano (PU), Punho: Tricotado, Grip: Liso, Peso: 360 gramas (0.36 kg), Dimensões da Embalagem: 9.0 cm (Altura) x 15.0 cm (Largura) x 26.0 cm (Profundidade), Quantidade por Embalagem: 12 unidades, Origem: Importado",https://www.lojadoexaustor.com.br/luva-helanca-pu-preta-9g-volk,https://cdn.dooca.com.br/rhmateriaiseletricos/product/916268791bf82e47aeb0af07501cedc4-15641599932699.pdf,https://volkdobrasil.com.br/produto/luva-cut | https://rocketreach.co/hd-store-oficial-profile_b7fc2e72c25c8a9b | https://rocketreach.co/show-de-imagem-email-format_b7b85970c53a2fe3
11105,"LUVA PVC C/F 27CM 9,5",ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"Luva de segurança confeccionada em suporte têxtil de algodão, revestimento externo total em PVC com acabamento áspero antiderrapante. Extremidade do punho com acabamento serrilhado, comprimento de 27cm e tamanho 9,5 (G).","Forro: 100% suporte têxtil de Algodão, Revestimento: PVC, Acabamento: Áspero, Comprimento: 27cm, Tamanho: 9,5 (G), Cor: Verde, Marca: Kalipso, C.A.: 21.420, Garantia: 5 anos (defeitos de fabricação)",https://www.centraldeferramentas.com.br/luva-de-pvc-27cm-kalipso/p,https://isafix.com.br/epi-s/luvas/luva-pvc-c-f-27cm-t-9-5-ca-21420-p,https://www.calcadosparatrabalhar.com.br/luva-de-pvc-27cm-com-forro-kalipso.html | https://kalipso.com.br/produtos/detalhes/115/pvc-27-cm | https://www.spsepi.com.br/produto/luva-pvc-cf-27-cm-kalipso-ca-21420.html
11107,"LUVA PVC C/F 35CM 9,5",ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"Luva de PVC Palma Áspera Punho 35 cm da Kalipso, confeccionada em suporte têxtil de algodão com revestimento externo em PVC. Proporciona maior aderência e segurança, ideal para ambientes industriais.","CA: 21420, Material: Suporte têxtil de algodão com revestimento externo em PVC, Acabamento: Áspero antiderrapante na face palmar, extremidade dos dedos e dorso, Punho: 35 cm com acabamento serrilhado, Resistência Térmica: 100°C, Tamanho: 9,5 (G), Embalagem: Pacote com 12 pares",https://mundodosacessorios13.lojavirtualnuvem.com.br/produtos/luva-pvc-c-f-35cm-t-95,https://kalipso.com.br/media/produtos/boletins/boletim-pdf-29112023-174934-27505.pdf,https://mundodosacessorios13.lojavirtualnuvem.com.br/produtos/luva-pvc-c-f-35cm-t-95 | https://www.fmferragens.com.br/produto/kalipso-luva-pvc-c-f-35-cm-t-95-021012-721
11109,"LUVA PVC C/F 45CM 9,5",ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"Luva de segurança confeccionada em PVC com forro em malha de algodão, ideal para proteção contra produtos químicos, óleos, graxas e líquidos. Comprimento de 45 cm e tamanho 9,5.","Tamanho: 9,5; Comprimento: 45 cm; Espessura: 1,18 mm; Resistência Química: Classe A (Tipo 1: Agressivos ácidos, Tipo 2: Agressivos básicos), Classe B (Detergentes, Sabões, Amoníacos e similares), Classe C (Tipo 3: Alcóis, Tipo 4: Éteres, Tipo 5); Resistência Térmica: até 100°C; Aprovada para risco mecânico (EN388), risco químico (ISO374) e risco térmico (EN407).",https://www.ferragemmurillo.com.br/produtos/luva-pvc-com-forro-45cm-t-95-kalipso,https://kalipso.com.br/media/produtos/boletins/boletim-pdf-04102023-161116-710205.pdf,https://loja.acpelogisticas.com/product/luva-pvc-kalipso-45cm-com-forro-t-95 | https://www.lojasjusti.com.br/epi/luva/pvc/luva-pvc-cf-45cm-t-9-5-forrada | https://www.netepi.com.br/luvas-de-protecao/luvas-de-pvc/luva-de-pvc-kalipso-tam-9-5-punho-27cm-35cm-45cm-c-a-21420
10134,LUVA REDGRIP 08M,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"A Luva RedGrip T08 M é uma luva de segurança tricotada em algodão, poliéster e elastômero, com revestimento antiderrapante de látex natural em formato de diamante na palma e dedos. Proporciona aderência, resistência mecânica e térmica, ideal para atividades industriais e de construção.","Tricotada em algodão, poliéster e elastômero; revestimento antiderrapante de látex natural em formato de diamante; resistência térmica até 250°C; resistência ao rasgamento e abrasão; punho tricotado com acabamento em overloque; certificação CA 41.415; normas EN 388 e EN 407.",https://www.copalparafusos.com.br/35203,https://kalipso.com.br/media/produtos/boletins/boletim-pdf-13112023-164601-846402.pdf,https://www.ecoepi.com.br/produto/luva-kalipso-red-grip | https://www.abrassfer.com.br/luva-de-seguranca-servicos-gerais-red-grip-kalipso
10136,LUVA REDGRIP 10XG,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"Luva de proteção tricotada em algodão, poliéster e elastômero com revestimento antiderrapante vulcanizado em látex natural na palma, face palmar dos dedos e ponta dos dedos (unheira), com reforço de borracha natural entre os dedos polegar e indicador (região da 'pinça'). Punho tricotado em algodão, com acabamento em overloque.","CA: 41415; Tamanhos: M, G, XG; Aprovada para riscos mecânicos (EN388) e térmicos (EN407); Resistência ao corte: 2; Resistência à perfuração: 1; Resistência ao rasgamento: 4; Resistência à abrasão: 4; Resistência térmica: 250°C; Absorve a transpiração; Conforto térmico; Ótima resistência a abrasão e ao rasgamento; Proteção na ponta dos dedos (unheira).",https://www.calcadosparatrabalhar.com.br/luva-red-grip-de-algod-o-kalipso-revestimento-latex.html,https://kalipso.com.br/media/produtos/boletins/boletim-pdf-13112023-164601-846402.pdf,https://kalipso.com.br/media/produtos/boletins/boletim-pdf-13112023-164601-846402.pdf | https://www.anhangueraferramentas.com.br/produto/luva-de-protecao-tricotada-em-algodao-revestida-em-latex-ca-41415-red-grip-kalipso-141440
11113,LUVA SAARA 09G,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"A Luva Saara T. 09-G CA:34712 é projetada para oferecer máxima proteção e conforto em ambientes industriais. Com um design ergonômico, esta luva se adapta perfeitamente às mãos, permitindo maior destreza e controle durante o manuseio de ferramentas e materiais.",Marca: Kalipso; Modelo: Saara; Tamanho: 09 / G; CA: 34712; Material: HPPE e fios de fibra de vidro; Revestimento em poliuretano (PU); Cor: Branca / mesclada; Palma antiderrapante; Punho em polietileno e elastano; Resistência a corte; Resistência térmica ao calor de contato até 250°C por 15 segundos; Livre de látex natural; Normas: EN388 4343D / EN407 X2XXXX,https://www.mercadolivre.com.br/luva-saara-t-09g-anti-corte-kalipso/up/MLBU4002273669,https://kalipso.com.br/media/produtos/boletins/boletim-pdf-01112024-110753-753556.pdf,https://isafix.com.br/produto/luva-saara-t-09-g-ca-34712 | https://www.universodasferragens.com.br/6959/luva-saara-t-09-g | https://shopee.com.br/Luva-Saara-T.-09-G-Anti-Corte-Kalipso-i.1229078535.23399486805
11115,LUVA SONORA T 09G - KALIPSO - USO EPI,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"A Luva de Segurança Sonora 09/G Kalipso é projetada para oferecer proteção, conforto e excelente sensibilidade tátil em atividades que exigem precisão, ideal para trabalhos leves e manuseio de peças secas.","Marca: Kalipso, Modelo: Sonora, Tamanho: 09/G, Material: Fibra de vidro, revestimento em borracha nitrílica dupla, resistente a corte, antiderrapante, livre de látex natural, resistência térmica até 100°C, propriedades eletrostáticas.",https://ferpam.com.br/produtos/luva-de-seguranca-sonora-09-g-kalipso,https://www.cosamapro.com.br/luva-de-seguranca-sonora-t-09-g-kalipso/p,https://ferpam.com.br/produtos/luva-de-seguranca-sonora-09-g-kalipso | https://www.universodasferragens.com.br/1185/luva-sonora-t-09-g-kalipso | https://www.cosamapro.com.br/luva-de-seguranca-sonora-t-09-g-kalipso/p
10126,LUVA TATEX PRETA 1 LADO - KALIPSO,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"Luva de segurança tricotada em fios de algodão e poliéster, com palma e face palmar dos dedos com pigmentos antiderrapantes de PVC, extremidade dos dedos com reforço de borracha de PVC. Punho com elástico e acabamento em overloque.","Composição: Algodão, Poliéster e PVC. Acabamento: Pigmentação preta em toda a luva. Aderência: Bolinhas de PVC na palma e dedos. Punho elástico para melhor fixação. Cor preta, ajuda a disfarçar sujeira. Costura interna para maior conforto. Tamanho 9/G indicado para mãos com circunferência entre 20 e 22 cm.",https://www.kalipso.com.br/produtos/detalhes/11/tatex-preta,https://cdn.heyzine.com/files/uploaded/a7831f67aa8e011cdea82ed975aa4d703e789733-1.pdf,https://www.madeiranit.com.br/luva-de-protecao-tatex-preta-tamanho-unico-kalipso | https://www.temosequipamentos.com.br/luva-de-seguranca-kalipso-ca-34491-tatex-algodao-pigmentada | https://www.novaopcaoepi.com.br/luva-kalipso-tatex-preta-pigmentada-tam-9-ca-34491
10140,LUVA TRICOTADA BANHO PU 701008 P7,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"Luva tricotada em fio de poliéster, banhada com Poliuretano (PU) na palma e dedos, oferecendo alta resistência à abrasão, sensibilidade tátil e conforto. Ideal para atividades que exigem precisão e manipulação cuidadosa de objetos pequenos.","Material: Fio de poliéster; Revestimento: Poliuretano (PU) na palma e dedos; Cor: Preta; Modelagem anatômica; Dorso ventilado; Punho tricotado; Tamanhos: P/7, M/8, G/9, XG/10, XXG/11; Resistência ao desgaste; Aderência; Respirabilidade; Proteção contra líquidos.",https://123tudo.com.br/products/luva-tricotada-marluvas-para-trabalho-e-seguranca-banho-pu,https://kalipso.com.br/media/produtos/boletins/boletim-pdf-29112023-174701-180113.pdf,https://www.episonline.com.br/luva-tatil-volk-preta-com-banho-pu-p3993 | https://adlepis.com.br/product-category/luva-tricotada-com-banho-pu | https://arican.com.br/luva-fibra-sintetica-banho-pu-palma-dedos-cinza-resistente-a-corte-mcr-ultratech-cut5-b9678pu-g.html
11111,LUVA TRICOTADA MESCLADA,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"Luva de segurança tricotada em quatro fios mesclados, confeccionada com fibras naturais e sintéticas, punho com inserção de fibras elásticas e acabamento em fibras sintéticas. Aprovada para proteção contra agentes abrasivos, escoriantes, cortantes e perfurantes.","Tricotada em quatro fios mesclados, punho com inserção de fibras elásticas, acabamento em fibras sintéticas, normas técnicas: EN 420:2003, BS EN 388:2003, EN 388:2016, EN 407:2020, resistência térmica de 250°C, nível de desempenho: 0130, 1.1.4.1.",https://www.protcap.com.br/files/ft/581M_JUN.htm,https://www.conforto.com.br/files/downloads/ca-3984-l21x61-manual-de-instrucao-luva-contra-agente-mecanico-1.pdf,https://vidaepi.com.br/product/luva-tricotada-mesclada | https://www.lojas360.com.br/protecao-das-maos/luva-tricotada-mesclada-3-fios-s-pigmento | https://www.brsupply.com.br/mix-de-produtos/epis-e-epcs/luva-de-malha-volk-mesclada-c-1par-p995657
11503,MS POLIMERO 40 BRANCO 230ML / 400G,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"MS Polímero 40 é um adesivo e selante monocomponente à base de polímero MS, com alta elasticidade e resistência a grandes cargas, ideal para colagens e vedações em diversos substratos. Recomendado para construção civil, engenharia, construção naval e indústria automobilística.","Base Química: Polímero Híbrido de MS, Tack Free (min): 25, Velocidade de Cura: 3 mm / 24h, Alongamento até: 680%, Capacidade de Movimentação: 25%, Resistência à Tração (Mpa): 1,80, Resistência ao Rasgo (Mpa): 7,40, Dureza (Shore A): 40 ± 5, Módulo 100% à 25C: 0,5, VOC <0,5% de voláteis, Temperatura de aplicação: +5°C a +35°C, Resistência à temperatura: -40°C a +90°C",https://www.lojadomecanico.com.br/produto/146930/32/235/adesivo-selante-ms-polimero-40-branco-230ml400g-w-max-wurth-0892110171,https://s3.sa-east-1.amazonaws.com/bd-sp.canaldapeca.com.br/Wurth/13102020/PDFS_L4/0892100262.pdf,https://www.lojadomecanico.com.br/produto/146930/32/235/adesivo-selante-ms-polimero-40-branco-230ml400g-w-max-wurth-0892110171 | https://www.wurth.com.br/p/7492741/adesivo-selante-ms-polimero-40-branco-400g-wurth-0892100161-unitario
644,AL LANCA SETA 5/8'' *,ACESSORIO/MIUDEZA,CASA E JARDIM,ALUMINIO,"A Ponta de Lança de Alumínio Comum 5/8"" é fabricada com alumínio de alta qualidade, resistente à corrosão e desgaste, ideal para aplicações em cercas e portões residenciais e comerciais.","Material: Alumínio de alta qualidade; Dimensões: 5/8"" de diâmetro; Design: Simples e funcional; Acabamento: Resistente à corrosão; Instalação: Fácil de fixar em cercas e portões.",https://www.magaluempresas.com.br/ponta-de-lanca-de-aluminio-comum-5-8-000097/p/hff5j57edc/cj/lamu,https://www.scribd.com/document/739539427/ABAL-Manual-de-Portas-e-Janelas-de-Aluminio-PDF-Free-Download,https://www.magaluempresas.com.br/ponta-de-lanca-de-aluminio-comum-5-8-000097/p/hff5j57edc/cj/lamu | https://www.cikala.com.br/ponta-de-lanca-lirio-para-port-o-em-aluminio-portoes-residenciais-comerciais-e-industriais-3999
5982,AL RALO SEMI ESFERICO ABACAXI 75MM,ACESSORIO/MIUDEZA,CASA E JARDIM,ALUMINIO,"Ralo Semi Esférico Tipo Abacaxi 75mm Diâmetro 3 Polegadas, produzido em ferro fundido, oferece resistência e eficiência no escoamento de água, ideal para áreas externas e internas.","Material: Ferro Fundido. Medidas: 75mm. Polegadas: 3''. Peso: 0,3 kg.",https://www.plastificar.com.br/outros/variedades/ralos-e-grelhas/ralo-semi-esferico-tipo-abacaxi-75mm-diametro-3-polegadas,http://www.metalurgicavoigt.com.br/uploads/outros/pdf/7-%20Ralo%20abacaxi.pdf,https://www.casadoralo.com.br/ralos/ralo-abacaxi-semiesferico-em-aluminio-3-polegadas-75mm | https://www.madeiramadeira.com.br/ralo-semi-esferico-tipo-abacaxi-75mm-diametro-3-polegadas-2857853.html | https://www.shopcoopera.com.br/kit-5-ralos-semi-esferico-tipo-abacaxi-75mm-diametro-3-pol-470285/p
231,AL TAMPAO 60 X 60 ARTICULADO,ACESSORIO/MIUDEZA,CASA E JARDIM,ALUMINIO,"O Tampão 60x60 Articulado em Alumínio é ideal para áreas de passagem de pedestres, sendo resistente à corrosão e durável. Seu design articulado facilita a abertura e fechamento, proporcionando acesso fácil para inspeções e manutenções.","Material: Alumínio fundido escovado; Dimensões: 60 x 60 cm; Peso: 8,7 kg; Capacidade de carga: aproximadamente 500 kg; Utilização: Passagem de pedestres; Atende a norma ABNT NBR 10160; Garantia: 3 meses contra defeito de fabricação.",https://www.fundicaofundart.com.br/produtos/tampao-60x60-com-rebaixo-articulado-em-aluminio,https://www.youtube.com/watch?v=ij08zH8K0A4,https://panelasferreira.com.br/tampao-de-aluminio-fundido-articulado-60x60-cm101 | https://www.fundicaovesuvio.com.br/tampoes/tampoes-em-aluminio-fundido/tampao-60x60cm-dupla-vedacao-articulado-em-af | https://www.fundicaofundart.com.br/produtos/tampao-60x60-articulado-comum-sem-rebaixo-em-aluminio
232,AL TAMPAO 70 X 70 ARTICULADO,ACESSORIO/MIUDEZA,CASA E JARDIM,ALUMINIO,"O Tampão 70X70 Articulado Comum (SEM REBAIXO) é fabricado em alumínio, com design articulado que permite abertura fácil e segura. Resistente a impactos e variações climáticas, é ideal para uso em áreas externas, internas, piscinas, estacionamentos e condomínios.",Dimensões: 70 x 70 cm; Material: Alumínio fundido; Peso: 11 kg; Capacidade de carga: aproximadamente 500 kg; Utilização: Passagem de pedestres; Resistência à corrosão; Elevada resistência; Durabilidade; Atende a norma ABNT NBR 10160; Garantia: 3 meses contra defeito de fabricação.,https://www.fundicaofundart.com.br/produtos/tampao-70x70-articulado-comum-sem-rebaixo-em-aluminio,https://www.fundicaofundart.com.br/produtos/tampao-70x70-articulado-comum-sem-rebaixo-em-aluminio,https://www.fundicaofundart.com.br/produtos/tampao-70x70-articulado-comum-sem-rebaixo-em-aluminio | https://www.casaepiscinas.com.br/tampao-de-aluminio-fundido-70-x-70-simples | https://tampaoegrelhagk.com.br/products/tampao-de-aluminio-fundido-articulado-70x70-cm-porta-cadeado
